gene_id,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Gene_1,-1.4956417036708727,0.42044479979377986,-1.1524601250632778,-0.98780104835416,-0.3437001107924407,1.0769287352053096,1.3435963517959264,-1.388584960450237,-2.7577809281882746,-0.16739215139922772
Gene_2,-0.6845287605823692,1.640572029587114,0.7258560721833338,-0.8338893648110539,-1.3544140920650283,0.4613305122751985,-0.6368346269189157,-0.8494124861852195,0.2982683433542798,-1.0598292518963384
Gene_3,0.2350363115647766,0.4142551396577873,-1.3502818989451357,0.405300186053521,-0.026261473335325334,-2.028027057904299,0.21760560929900413,-0.6922022657954232,-0.36031154144146693,0.6271415109526902
Gene_4,-0.4052164820800563,1.617379531298726,-2.5117535443276005,0.13970076904053955,-0.8210346696183085,-0.6767558909622564,-1.0423316621183216,0.6172563915697883,-1.3229460708906604,1.5857224434228554
Gene_5,0.7645276617393816,-0.6935835776298083,-0.44833818992545277,0.8488160861569302,0.18636591878677264,1.2964207083431276,-0.20938779297355448,0.9745270151799182,0.6896381265919499,0.6877927378846765
Gene_6,-0.1456549034048315,0.48633611213068134,-0.4559766406803438,-0.7435948983922336,0.1718156100264846,0.6740131759401798,0.02936923570057575,-1.3622181157096713,-0.2944480091885324,0.26260336774582677
Gene_7,1.5719534433680364,0.8819132226985449,1.104444482416207,-2.3144216755186573,1.8008122142622964,0.48160823868328945,-1.162053993266572,-1.2408457553644725,-0.6642795194629547,-0.8502103712060425
Gene_8,0.2757185515778719,-0.6672570431725167,0.2671077603250865,-0.15730437594723085,1.007487286475205,-0.0897913290924061,-1.6455256585989873,-1.092842147861032,0.564767850215259,1.485025751032023
Gene_9,0.42242355950509375,2.078044791062816,-1.9853573580101382,0.15173541934706053,-1.536092275245415,0.6335658880476431,1.3032976876210625,-1.4404859629086721,1.0583976373834472,1.8751305892418497
Gene_10,-0.8720347721408875,1.729775315282212,-0.8376866091917674,0.19529334081191627,2.5938299037217813,-0.4906329911963432,-0.2909733749905539,-0.04686183791758013,-0.4073295780984415,1.8394351496104941
Gene_11,0.1577891834089227,1.8666615157780044,1.0029290748245143,-1.1461637896063261,0.9267258849591941,-0.12133050827821198,0.07053785038716436,1.89351639708173,-0.48727578749668,-0.050052150618542596
Gene_12,1.658661716440579,-0.14265597657503568,0.3159462657739539,-0.3076695054555879,-0.27889188136663867,-0.6361820272922795,-1.308289012114386,-0.6400963728470022,0.34107133959128494,-0.9658076841934066
Gene_13,-0.2389836385168583,1.0300991246228959,0.07385904659110622,2.2287693497696366,0.6309729484946556,-1.8593941795417814,-0.9844142250251585,-2.41192499102167,-0.2125354466997627,1.386220589634212
Gene_14,0.23125163407447916,-0.7290270043864595,1.6448908252992402,-0.861562586884446,0.7043244037718107,-0.7428623268906711,0.43768181688486846,-0.46713733587201894,-1.1512485186010202,-1.6027297507552178
Gene_15,0.4953919899741675,0.8716515077036657,0.5663329469075729,0.03280538466454836,-1.6297598897158134,0.10346702199624712,0.1370481372313555,2.015113961814836,-0.4589209623798492,-0.3909192088087849
